iso2c,year,cpi
SY,1966,1.52704130572224
SY,1967,1.62559840399201
SY,1968,1.67190836582962
SY,1969,1.63866018810006
SY,1970,1.71465602291049
SY,1971,1.81083825134245
SY,1972,1.84883616874768
SY,1973,2.22525303804313
SY,1974,2.57079659944684
SY,1975,2.86553761084839
SY,1976,3.19302762351678
SY,1977,3.57509930496322
SY,1978,3.74703156161413
SY,1979,3.91759927654558
SY,1980,4.67355538912178
SY,1981,5.5332166723763
SY,1982,6.32465086965823
SY,1983,6.71218071798249
SY,1984,7.33168265861352
SY,1985,8.59661283254517
SY,1986,11.6968516191392
SY,1987,18.654649846623
SY,1988,25.1021094710319
SY,1989,27.9635534567219
SY,1990,33.3876067915421
SY,1991,36.3924914027809
SY,1992,40.3990042177659
SY,1993,45.7410213044127
SY,1994,52.7524187306365
SY,1995,56.9620394869366
SY,1996,61.6613451428462
SY,1997,62.8243467794185
SY,1998,62.3235326775453
SY,1999,60.0152536894881
SY,2000,57.7069747014309
SY,2001,59.4381839424738
SY,2002,59.3606139726559
SY,2003,62.8016475245647
SY,2004,65.5857333402583
SY,2005,70.3343695863726
SY,2006,77.3847645397452
SY,2007,80.4087363386503
SY,2008,93.0693533820479
SY,2009,95.7878134427753
SY,2010,100
SY,2011,104.753163888857
SY,2012,143.199979473582
TJ,2000,28.3556276293855
TJ,2001,39.2986000980192
TJ,2002,44.1126726297566
TJ,2003,51.3045783333152
TJ,2004,54.9687334042757
TJ,2005,58.8670788422238
TJ,2006,64.7601827441942
TJ,2007,73.2755799354642
TJ,2008,88.2754735793476
TJ,2009,93.9676833966705
TJ,2010,100
TJ,2011,112.431549043041
TJ,2012,118.987619315709
TJ,2013,124.948478366802
TJ,2014,132.5758678301
TZ,1965,0.0980982505021119
TZ,1966,0.107689331599363
TZ,1967,0.120813968886352
TZ,1968,0.139659601917924
TZ,1969,0.162585651027103
TZ,1970,0.168264580623163
TZ,1971,0.176299214347959
TZ,1972,0.189760380797459
TZ,1973,0.209489402875623
TZ,1974,0.25054596054746
TZ,1975,0.315832617829994
TZ,1976,0.337496682584914
TZ,1977,0.376660263725151
TZ,1978,0.40142567606508
TZ,1979,0.453404792459151
TZ,1980,0.590320798323243
TZ,1981,0.741738224340754
TZ,1982,0.956340409598158
TZ,1983,1.21508717776415
TZ,1984,1.65429187828086
TZ,1985,2.2048750187811
TZ,1986,2.9199645294633
TZ,1987,3.79447549676717
TZ,1988,4.97784788032566
TZ,1989,6.26461350627671
TZ,1990,8.5090222821475
TZ,1991,10.9507417196333
TZ,1992,13.3431334917154
TZ,1993,16.715912613697
TZ,1994,22.4132579678306
TZ,1995,28.5607182687734
TZ,1996,34.5519742959377
